[2026-02-06 16:38:47] [INFO] [02-Download(init_logging):53]	-------------------脚本开始执行----------------------
[2026-02-06 16:38:47] [INFO] [02-Download(init_framework):327]	OS: ubuntu 22.04
[2026-02-06 16:38:47] [INFO] [02-Download(main):91]	MAAS_MD5_CHECK: 1
[2026-02-06 16:38:47] [INFO] [02-Download(download_from_manifest):44]	[SKIP] 已存在且 md5 正确: /data/download/base/Python-3.11.9.tgz
[2026-02-06 16:38:47] [INFO] [02-Download(download_from_manifest):44]	[SKIP] 已存在且 md5 正确: /data/download/base/helm-v3.18.3-linux-amd64.tar.gz
[2026-02-06 16:38:47] [INFO] [02-Download(download_from_manifest):44]	[SKIP] 已存在且 md5 正确: /data/download/base/helmfile_1.1.2_linux_amd64.tar.gz
[2026-02-06 16:38:47] [INFO] [02-Download(download_from_manifest):44]	[SKIP] 已存在且 md5 正确: /data/download/containerd/containerd-1.7.4-linux-amd64.tar.gz
[2026-02-06 16:38:47] [INFO] [02-Download(download_from_manifest):44]	[SKIP] 已存在且 md5 正确: /data/download/containerd/containerd.service
[2026-02-06 16:38:47] [INFO] [02-Download(download_from_manifest):44]	[SKIP] 已存在且 md5 正确: /data/download/containerd/runc.amd64
[2026-02-06 16:38:47] [INFO] [02-Download(download_from_manifest):44]	[SKIP] 已存在且 md5 正确: /data/download/containerd/cni-plugins-linux-amd64-v1.7.1.tgz
[2026-02-06 16:38:47] [INFO] [02-Download(download_from_manifest):44]	[SKIP] 已存在且 md5 正确: /data/download/containerd/containerd-config.toml
[2026-02-06 16:38:47] [INFO] [02-Download(download_from_manifest):44]	[SKIP] 已存在且 md5 正确: /data/download/k8s/kube-apiserver-v1.31.11.tar
[2026-02-06 16:38:48] [INFO] [02-Download(download_from_manifest):44]	[SKIP] 已存在且 md5 正确: /data/download/k8s/kube-controller-manager-v1.31.11.tar
[2026-02-06 16:38:48] [INFO] [02-Download(download_from_manifest):44]	[SKIP] 已存在且 md5 正确: /data/download/k8s/kube-scheduler-v1.31.11.tar
[2026-02-06 16:38:48] [INFO] [02-Download(download_from_manifest):44]	[SKIP] 已存在且 md5 正确: /data/download/k8s/kube-proxy-v1.31.11.tar
[2026-02-06 16:38:48] [INFO] [02-Download(download_from_manifest):44]	[SKIP] 已存在且 md5 正确: /data/download/k8s/coredns-v1.11.3.tar
[2026-02-06 16:38:48] [INFO] [02-Download(download_from_manifest):44]	[SKIP] 已存在且 md5 正确: /data/download/k8s/pause-3.10.tar
[2026-02-06 16:38:48] [INFO] [02-Download(download_from_manifest):44]	[SKIP] 已存在且 md5 正确: /data/download/k8s/etcd-3.5.15-0.tar
[2026-02-06 16:38:48] [INFO] [02-Download(download_from_manifest):44]	[SKIP] 已存在且 md5 正确: /data/download/cni/calico.yaml
[2026-02-06 16:38:48] [INFO] [02-Download(download_from_manifest):44]	[SKIP] 已存在且 md5 正确: /data/download/cni/cni-release-v3.30.tar
[2026-02-06 16:38:49] [INFO] [02-Download(download_from_manifest):44]	[SKIP] 已存在且 md5 正确: /data/download/cni/kube-controllers-release-v3.30.tar
[2026-02-06 16:38:49] [INFO] [02-Download(download_from_manifest):44]	[SKIP] 已存在且 md5 正确: /data/download/cni/node-release-v3.30.tar
[2026-02-06 16:38:49] [INFO] [02-Download(download_from_manifest):44]	[SKIP] 已存在且 md5 正确: /data/download/ingress/ingress_nginx.yaml
[2026-02-06 16:38:50] [INFO] [02-Download(download_from_manifest):44]	[SKIP] 已存在且 md5 正确: /data/download/ingress/controller-v1.12.2.tar
[2026-02-06 16:38:50] [INFO] [02-Download(download_from_manifest):44]	[SKIP] 已存在且 md5 正确: /data/download/ingress/kube-webhook-certgen-v1.5.3.tar
[2026-02-06 16:38:50] [INFO] [02-Download(download_from_manifest):44]	[SKIP] 已存在且 md5 正确: /data/download/local-path/local-path-storage.yaml
[2026-02-06 16:38:50] [INFO] [02-Download(download_from_manifest):44]	[SKIP] 已存在且 md5 正确: /data/download/local-path/local-dynamic.yaml
[2026-02-06 16:38:50] [INFO] [02-Download(download_from_manifest):44]	[SKIP] 已存在且 md5 正确: /data/download/local-path/local-path-provisioner-master-head.tar
[2026-02-06 16:38:50] [INFO] [02-Download(download_from_manifest):44]	[SKIP] 已存在且 md5 正确: /data/download/local-path/busybox-1.33.1.tar
[2026-02-06 16:38:50] [INFO] [02-Download(download_from_manifest):44]	[SKIP] 已存在且 md5 正确: /data/download/nfs-provisioner/nfs-subdir-external-provisioner-4.0.18.tgz
[2026-02-06 16:38:50] [INFO] [02-Download(download_from_manifest):44]	[SKIP] 已存在且 md5 正确: /data/download/nfs-provisioner/nfs-subdir-external-provisioner-v4.0.2.tar
[2026-02-06 16:38:50] [INFO] [02-Download(download_from_manifest):44]	[SKIP] 已存在且 md5 正确: /data/download/tidb/tidb-operator-v1.6.1.tgz
[2026-02-06 16:38:50] [INFO] [02-Download(download_from_manifest):44]	[SKIP] 已存在且 md5 正确: /data/download/tidb/crd.yaml
[2026-02-06 16:38:50] [INFO] [02-Download(download_from_manifest):44]	[SKIP] 已存在且 md5 正确: /data/download/tidb/values-tidb-operator.yaml
[2026-02-06 16:38:50] [INFO] [02-Download(download_from_manifest):44]	[SKIP] 已存在且 md5 正确: /data/download/nvidia/nvidia-container-toolkit_1.17.8-1_amd64.deb
