[2026-02-06 17:25:26] [INFO] [11-Install-containerd(init_logging):53]	-------------------脚本开始执行----------------------
[2026-02-06 17:25:26] [INFO] [11-Install-containerd(init_framework):327]	OS: ubuntu 22.04
[2026-02-06 17:25:27] [WARN] [11-Install-containerd(backup_existing):65]	检测到 containerd 已存在，将备份并重装
[2026-02-06 17:25:27] [WARN] [11-Install-containerd(backup_if_exists):83]	备份已存在路径: /etc/containerd -> /etc/containerd.k8s-deploy.20260206_172527
[2026-02-06 17:25:27] [WARN] [11-Install-containerd(backup_if_exists):83]	备份已存在路径: /usr/local/bin/containerd -> /usr/local/bin/containerd.k8s-deploy.20260206_172527
[2026-02-06 17:25:27] [WARN] [11-Install-containerd(backup_if_exists):83]	备份已存在路径: /usr/local/bin/containerd-shim-runc-v2 -> /usr/local/bin/containerd-shim-runc-v2.k8s-deploy.20260206_172527
[2026-02-06 17:25:27] [WARN] [11-Install-containerd(backup_if_exists):83]	备份已存在路径: /usr/local/bin/containerd-shim -> /usr/local/bin/containerd-shim.k8s-deploy.20260206_172527
[2026-02-06 17:25:27] [WARN] [11-Install-containerd(backup_if_exists):83]	备份已存在路径: /usr/local/bin/ctr -> /usr/local/bin/ctr.k8s-deploy.20260206_172527
[2026-02-06 17:25:27] [WARN] [11-Install-containerd(backup_if_exists):83]	备份已存在路径: /usr/local/sbin/runc -> /usr/local/sbin/runc.k8s-deploy.20260206_172527
[2026-02-06 17:25:27] [WARN] [11-Install-containerd(backup_if_exists):83]	备份已存在路径: /etc/systemd/system/containerd.service -> /etc/systemd/system/containerd.service.k8s-deploy.20260206_172527
[2026-02-06 17:25:27] [INFO] [11-Install-containerd(log_command):68]	执行命令: mkdir -p /etc/containerd
[2026-02-06 17:25:27] [INFO] [11-Install-containerd(log_command):72]	命令执行成功
[2026-02-06 17:25:27] [INFO] [11-Install-containerd(log_command):68]	执行命令: cp -f "/data/download/containerd/containerd-config.toml" /etc/containerd/config.toml
[2026-02-06 17:25:27] [INFO] [11-Install-containerd(log_command):72]	命令执行成功
[2026-02-06 17:25:27] [INFO] [11-Install-containerd(log_command):68]	执行命令: sed -i -E 's@^imports = \["/etc/containerd/config\.toml"\]@imports = []@' /etc/containerd/config.toml || true
[2026-02-06 17:25:27] [INFO] [11-Install-containerd(log_command):72]	命令执行成功
[2026-02-06 17:25:27] [INFO] [11-Install-containerd(log_command):68]	执行命令: sed -i -E 's@runtime_type = "io\.containerd\.runtime\.v1\.linux"@runtime_type = "io.containerd.runc.v2"@g' /etc/containerd/config.toml || true
[2026-02-06 17:25:27] [INFO] [11-Install-containerd(log_command):72]	命令执行成功
[2026-02-06 17:25:27] [INFO] [11-Install-containerd(log_command):68]	执行命令: sed -i -E 's@platforms = \["linux/arm64/v8"\]@platforms = ["linux/amd64"]@' /etc/containerd/config.toml || true
[2026-02-06 17:25:27] [INFO] [11-Install-containerd(log_command):72]	命令执行成功
[2026-02-06 17:25:27] [INFO] [11-Install-containerd(log_command):68]	执行命令: tar -C /usr/local -xzf "/data/download/containerd/containerd-1.7.4-linux-amd64.tar.gz"
[2026-02-06 17:25:27] [INFO] [11-Install-containerd(log_command):72]	命令执行成功
[2026-02-06 17:25:27] [INFO] [11-Install-containerd(log_command):68]	执行命令: install -m 0755 "/data/download/containerd/runc.amd64" /usr/local/sbin/runc
[2026-02-06 17:25:27] [INFO] [11-Install-containerd(log_command):72]	命令执行成功
[2026-02-06 17:25:27] [INFO] [11-Install-containerd(log_command):68]	执行命令: mkdir -p /opt/cni/bin
[2026-02-06 17:25:27] [INFO] [11-Install-containerd(log_command):72]	命令执行成功
[2026-02-06 17:25:27] [INFO] [11-Install-containerd(log_command):68]	执行命令: tar -C /opt/cni/bin -xzf "/data/download/containerd/cni-plugins-linux-amd64-v1.7.1.tgz"
[2026-02-06 17:25:28] [INFO] [11-Install-containerd(log_command):72]	命令执行成功
[2026-02-06 17:25:28] [INFO] [11-Install-containerd(log_command):68]	执行命令: cp -f "/data/download/containerd/containerd.service" /etc/systemd/system/containerd.service
[2026-02-06 17:25:28] [INFO] [11-Install-containerd(log_command):72]	命令执行成功
[2026-02-06 17:25:28] [INFO] [11-Install-containerd(log_command):68]	执行命令: systemctl daemon-reload
[2026-02-06 17:25:29] [INFO] [11-Install-containerd(log_command):72]	命令执行成功
[2026-02-06 17:25:29] [INFO] [11-Install-containerd(log_command):68]	执行命令: systemctl enable containerd
[2026-02-06 17:25:30] [INFO] [11-Install-containerd(log_command):72]	命令执行成功
[2026-02-06 17:25:30] [INFO] [11-Install-containerd(log_command):68]	执行命令: systemctl restart containerd
[2026-02-06 17:25:30] [INFO] [11-Install-containerd(log_command):72]	命令执行成功
[2026-02-06 17:25:30] [INFO] [11-Install-containerd(main):142]	containerd 安装完成
